iteration,forward_time,backward_time,optimizer_time,comm_time,idle_time,forward_energy,backward_energy,optimizer_energy,comm_energy,idle_energy,total_energy,simulated_gpu_count,simulated_total_energy,simulated_total_power,master_gpu_power,power_gpu1,power_gpu2,power_gpu3,power_gpu4,power_gpu5,power_gpu6,power_gpu7,power_gpu8,power_gpu9,power_gpu10,power_gpu11,power_gpu12,power_gpu13,power_gpu14,power_gpu15,power_gpu16
1,1.5168907642364502,0.552811861038208,0.4139866828918457,0.0,0.0,424.72941398620605,176.89979553222656,103.49667072296143,0.0,0.0,705.125880241394,16,11283.726438618964,4543.1312207680185,283.90261129800024,283.90261129800024,283.96968077907826,283.9269249067318,283.9491162081936,283.96968077907826,283.9269249067318,283.9491162081936,283.96968077907826,283.9269249067318,283.9491162081936,283.96968077907826,283.9269249067318,283.9491162081936,283.96968077907826,283.9269249067318,283.9491162081936
2,0.31893491744995117,0.1406230926513672,0.019026756286621094,0.07141423225402832,2.260038375854492,89.30177688598633,44.9993896484375,4.756689071655273,12.854561805725098,158.20268630981445,310.11510372161865,16,4956.640653224774,1763.9055972033009,110.35977903218786,110.35977903218786,114.79041971309964,109.73837010356557,106.1803738175574,114.79041971309964,109.73837010356557,106.1803738175574,114.79041971309964,109.73837010356557,106.1803738175574,114.79041971309964,109.73837010356557,106.1803738175574,114.79041971309964,109.73837010356557,106.1803738175574
3,0.13174891471862793,0.1264493465423584,0.013332128524780273,0.0,0.0,36.88969612121582,40.46379089355469,3.3330321311950684,0.0,0.0,80.68651914596558,16,1291.226619357993,4755.366868425856,297.15465443711855,297.15465443711855,296.595138425639,297.3382721762313,297.70903219587717,296.595138425639,297.3382721762313,297.70903219587717,296.595138425639,297.3382721762313,297.70903219587717,296.595138425639,297.3382721762313,297.70903219587717,296.595138425639,297.3382721762313,297.70903219587717
4,0.12943124771118164,0.12822270393371582,0.029758930206298828,0.0,0.0,36.24074935913086,41.03126525878906,7.439732551574707,0.0,0.0,84.71174716949463,16,1354.0018729318017,4710.99925727343,294.7388670399014,294.7388670399014,293.74440193460487,294.74773021979377,294.75994589230714,293.74440193460487,294.74773021979377,294.75994589230714,293.74440193460487,294.74773021979377,294.75994589230714,293.74440193460487,294.74773021979377,294.75994589230714,293.74440193460487,294.74773021979377,294.75994589230714
5,0.12657642364501953,0.1287071704864502,0.029833316802978516,0.0,0.0,35.44139862060547,41.18629455566406,7.458329200744629,0.0,0.0,84.08602237701416,16,1344.389091812709,4715.220459588242,294.9176956969295,294.9176956969295,294.59815682942997,294.8602396370527,294.6021563117798,294.59815682942997,294.8602396370527,294.6021563117798,294.59815682942997,294.8602396370527,294.6021563117798,294.59815682942997,294.8602396370527,294.6021563117798,294.59815682942997,294.8602396370527,294.6021563117798
6,0.12568116188049316,0.1294691562652588,0.029920578002929688,0.0,0.0,35.190725326538086,41.43013000488281,7.480144500732422,0.0,0.0,84.10099983215332,16,1345.0161790816335,4718.1813270062,295.01783931071515,295.01783931071515,295.153821944537,294.5996155284886,294.87926006607137,295.153821944537,294.5996155284886,294.87926006607137,295.153821944537,294.5996155284886,294.87926006607137,295.153821944537,294.5996155284886,294.87926006607137,295.153821944537,294.5996155284886,294.87926006607137
7,0.12470769882202148,0.1267399787902832,0.029981374740600586,0.0,0.0,34.918155670166016,40.556793212890625,7.4953436851501465,0.0,0.0,82.97029256820679,16,1320.8535727156725,4693.380309078232,294.8177946609579,294.8177946609579,293.88506672199765,290.67417330698163,295.15326285447566,293.88506672199765,290.67417330698163,295.15326285447566,293.88506672199765,290.67417330698163,295.15326285447566,293.88506672199765,290.67417330698163,295.15326285447566,293.88506672199765,290.67417330698163,295.15326285447566
8,0.1322338581085205,0.12110733985900879,0.02945232391357422,0.0,0.0,37.02548027038574,38.75434875488281,7.363080978393555,0.0,0.0,83.14291000366211,16,1330.373286929914,4704.39802892391,294.0057093621061,294.0057093621061,293.8820551062725,293.8425550986839,294.3538537074043,293.8820551062725,293.8425550986839,294.3538537074043,293.8820551062725,293.8425550986839,294.3538537074043,293.8820551062725,293.8425550986839,294.3538537074043,293.8820551062725,293.8425550986839,294.3538537074043
9,0.1381216049194336,0.1264653205871582,0.02977466583251953,0.0,0.0,38.674049377441406,40.468902587890625,7.443666458129883,0.0,0.0,86.58661842346191,16,1384.5646482452462,4703.618573152079,294.15053108512427,294.15053108512427,293.4284797805737,294.22510064055734,294.24002799225985,293.4284797805737,294.22510064055734,294.24002799225985,293.4284797805737,294.22510064055734,294.24002799225985,293.4284797805737,294.22510064055734,294.24002799225985,293.4284797805737,294.22510064055734,294.24002799225985
10,0.1359996795654297,0.12222766876220703,0.03020000457763672,0.0,0.0,38.07991027832031,39.11285400390625,7.55000114440918,0.0,0.0,84.74276542663574,16,1357.2283034832506,4705.615780931143,293.8097395168597,293.8097395168597,293.5353906662586,294.7968763291712,294.02894128742673,293.5353906662586,294.7968763291712,294.02894128742673,293.5353906662586,294.7968763291712,294.02894128742673,293.5353906662586,294.7968763291712,294.02894128742673,293.5353906662586,294.7968763291712,294.02894128742673
